Date,Open,High,Low,Close,Volume,(High-Low),(Open-Close)
01-01-2015,286.31,289.27,285.24,287.99,14549,4.03,-1.68
02-01-2015,287.99,292.51,287.99,288.59,24711,4.52,-0.6
05-01-2015,288.59,290.01,280.31,281.47,28104,9.7,7.12
06-01-2015,282.01,282.01,266.19,268.01,43190,15.82,14
07-01-2015,265.51,271.01,265.01,266.44,201960,6,-0.93
08-01-2015,268.31,276.44,268.31,274.74,166565,8.13,-6.43
09-01-2015,279.69,296.01,270.77,283.21,505181,25.24,-3.52
12-01-2015,283.04,283.89,275.09,275.99,39993,8.8,7.05
13-01-2015,271.67,274.57,266.69,267.57,386157,7.88,4.1
14-01-2015,272.49,272.49,263.51,264.74,87674,8.98,7.75
15-01-2015,271.51,271.51,265.24,266.11,601507,6.27,5.4
16-01-2015,266.94,270.54,261.29,263.94,478484,9.25,3
19-01-2015,261.59,269.01,261.51,265.67,59643,7.5,-4.08
20-01-2015,266.07,269.51,266.07,268.61,39624,3.44,-2.54
21-01-2015,269.51,269.51,265.94,267.47,26549,3.57,2.04
22-01-2015,267.94,272.71,267.51,271.24,45190,5.2,-3.3
23-01-2015,273.64,277.01,272.97,275.91,43985,4.04,-2.27
27-01-2015,276.51,278.99,269.64,271.74,30660,9.35,4.77
28-01-2015,272.37,282.34,272.37,280.54,58226,9.97,-8.17
29-01-2015,281.01,281.91,274.51,275.19,27785,7.4,5.82
30-01-2015,276.51,278.51,265.84,267.61,54699,12.67,8.9
02-02-2015,269.01,270.51,265.51,266.39,39543,5,2.62
03-02-2015,269.31,270.01,264.14,266.87,49054,5.87,2.44
04-02-2015,271.49,275.01,268.07,273.89,49517,6.94,-2.4
05-02-2015,273.01,273.01,269.24,270.07,2746859,3.77,2.94
06-02-2015,270.51,276.47,269.14,273.91,244116,7.33,-3.4
09-02-2015,272.51,276.74,267.51,270.64,89558,9.23,1.87
10-02-2015,267.51,273.44,262.79,265.47,57225,10.65,2.04
11-02-2015,266.37,268.24,263.81,265.07,17575,4.43,1.3
12-02-2015,266.84,267.51,263.14,265.47,18911,4.37,1.37
13-02-2015,260.01,262.91,249.57,251.31,174533,13.34,8.7
16-02-2015,251.51,256.51,248.01,249.74,100094,8.5,1.77
18-02-2015,250.51,253.01,247.51,250.19,95569,5.5,0.32
19-02-2015,251.61,253.41,247.17,248.64,60478,6.24,2.97
20-02-2015,249.67,250.77,246.57,247.37,47387,4.2,2.3
23-02-2015,249.51,249.51,242.91,243.61,38487,6.6,5.9
24-02-2015,244.59,244.67,234.47,235.09,69871,10.2,9.5
25-02-2015,236.51,241.99,236.51,239.54,137734,5.48,-3.03
26-02-2015,241.01,241.01,234.59,236.69,1430694,6.42,4.32
27-02-2015,237.41,255.19,237.11,250.64,148356,18.08,-13.23
28-02-2015,251.27,254.51,247.74,249.01,35940,6.77,2.26
02-03-2015,249.01,253.94,245.17,248.47,59870,8.77,0.54
03-03-2015,251.99,252.01,244.01,245.01,916228,8,6.98
04-03-2015,245.91,246.59,243.51,244.19,169552,3.08,1.72
05-03-2015,245.39,247.59,243.01,246.87,24245,4.58,-1.48
09-03-2015,246.87,246.87,242.51,245.59,936483,4.36,1.28
10-03-2015,246.51,248.17,244.67,246.31,626657,3.5,0.2
11-03-2015,247.51,248.97,241.64,243.01,444735,7.33,4.5
12-03-2015,243.51,245.51,241.79,243.79,28275,3.72,-0.28
13-03-2015,245.01,245.01,241.89,242.99,319981,3.12,2.02
16-03-2015,243.01,243.87,237.69,238.77,1620879,6.18,4.24
17-03-2015,240.01,242.51,239.29,240.34,14116,3.22,-0.33
18-03-2015,241.34,241.69,238.67,239.34,19828,3.02,2
19-03-2015,241.77,254.14,239.27,241.74,261066,14.87,0.03
20-03-2015,242.51,243.99,237.04,240.67,50247,6.95,1.84
23-03-2015,241.64,244.51,241.14,241.67,360508,3.37,-0.03
24-03-2015,238.51,239.09,234.57,235.49,28614,4.52,3.02
25-03-2015,239.01,240.01,233.14,235.07,65548,6.87,3.94
26-03-2015,235.07,236.64,232.91,233.84,35349,3.73,1.23
27-03-2015,234.91,236.14,225.01,228.38,101105,11.13,6.53
30-03-2015,231.61,232.71,227.51,228.51,38976,5.2,3.1
31-03-2015,230.91,231.28,226.08,226.84,47972,5.2,4.07
01-04-2015,227.51,230.01,225.48,229.26,34338,4.53,-1.75
06-04-2015,230.01,231.51,225.91,229.64,34120,5.6,0.37
07-04-2015,230.51,232.14,227.48,228.64,32601,4.66,1.87
08-04-2015,229.86,229.98,225.36,225.98,69687,4.62,3.88
09-04-2015,227.51,229.01,226.54,228.16,132418,2.47,-0.65
10-04-2015,228.18,234.49,228.18,233.77,54674,6.31,-5.59
13-04-2015,235.01,240.91,233.51,239.24,80790,7.4,-4.23
15-04-2015,242.07,256.27,240.01,250.09,129826,16.26,-8.02
16-04-2015,250.09,256.51,246.51,254.31,88467,10,-4.22
17-04-2015,256.37,263.01,255.77,259.44,103139,7.24,-3.07
20-04-2015,260.51,260.51,241.64,250.51,71242,18.87,10
21-04-2015,249.01,249.01,242.09,243.61,53525,6.92,5.4
22-04-2015,245.01,247.61,231.98,233.01,209037,15.63,12
23-04-2015,235.67,237.97,234.21,236.84,41939,3.76,-1.17
24-04-2015,237.51,237.51,233.24,234.97,25752,4.27,2.54
27-04-2015,235.41,236.51,230.41,233.69,22031,6.1,1.72
28-04-2015,233.69,235.54,232.01,234.51,715550,3.53,-0.82
29-04-2015,234.51,234.51,229.66,232.86,43684,4.85,1.65
30-04-2015,232.51,232.51,228.44,229.01,35680,4.07,3.5
04-05-2015,231.26,244.44,231.26,243.27,61971,13.18,-12.01
05-05-2015,244.67,245.09,240.91,243.21,48431,4.18,1.46
06-05-2015,244.01,246.87,231.96,235.09,103346,14.91,8.92
07-05-2015,235.01,236.99,231.06,232.51,41579,5.93,2.5
08-05-2015,234.37,238.01,234.04,236.71,75535,3.97,-2.34
11-05-2015,236.51,244.99,236.14,243.24,43214,8.85,-6.73
12-05-2015,242.67,244.24,236.07,241.54,30315,8.17,1.13
13-05-2015,239.01,239.49,234.51,238.09,58085,4.98,0.92
14-05-2015,238.51,245.01,238.39,244.31,30882,6.62,-5.8
15-05-2015,245.51,250.01,244.37,248.31,59789,5.64,-2.8
18-05-2015,249.99,251.99,247.21,250.24,243568,4.78,-0.25
19-05-2015,248.29,250.01,243.49,248.57,65872,6.52,-0.28
20-05-2015,248.51,251.69,242.64,244.51,40136,9.05,4
21-05-2015,245.17,245.61,237.64,240.11,56096,7.97,5.06
22-05-2015,247.01,247.01,239.01,239.94,42002,8,7.07
25-05-2015,240.51,241.87,238.51,240.04,42640,3.36,0.47
26-05-2015,240.51,240.61,237.51,238.49,331957,3.1,2.02
27-05-2015,239.57,239.57,235.27,236.97,36900,4.3,2.6
28-05-2015,237.01,239.27,236.77,237.97,40078,2.5,-0.96
29-05-2015,238.01,238.11,230.28,232.54,152664,7.83,5.47
01-06-2015,234.01,243.51,234.01,241.67,84860,9.5,-7.66
02-06-2015,242.51,243.47,236.64,238.34,36256,6.83,4.17
03-06-2015,238.51,238.51,233.54,236.37,42718,4.97,2.14
04-06-2015,237.47,238.77,231.51,235.07,61918,7.26,2.4
05-06-2015,236.19,238.99,233.01,235.71,35103,5.98,0.48
08-06-2015,235.01,236.41,232.31,233.18,124578,4.1,1.83
09-06-2015,233.18,236.51,232.11,232.76,33736,4.4,0.42
10-06-2015,233.37,236.49,232.14,235.29,17332,4.35,-1.92
11-06-2015,235.01,236.94,232.88,234.09,44777,4.06,0.92
12-06-2015,234.09,237.27,233.51,234.97,37038,3.76,-0.88
15-06-2015,235.51,235.51,233.14,233.49,21353,2.37,2.02
16-06-2015,233.51,237.54,233.04,233.39,33084,4.5,0.12
17-06-2015,231.01,234.97,231.01,231.94,31804,3.96,-0.93
18-06-2015,232.26,235.99,230.81,232.91,68044,5.18,-0.65
19-06-2015,233.69,236.37,233.51,235.27,43900,2.86,-1.58
22-06-2015,236.51,236.51,233.24,235.14,41504,3.27,1.37
23-06-2015,235.11,239.01,234.51,236.51,62329,4.5,-1.4
24-06-2015,237.51,238.81,235.01,235.34,43918,3.8,2.17
25-06-2015,235.04,236.11,232.61,234.44,47024,3.5,0.6
26-06-2015,234.81,234.81,231.41,231.88,32058,3.4,2.93
29-06-2015,232.01,232.01,223.46,224.58,87660,8.55,7.43
30-06-2015,224.51,225.51,222.74,223.66,58953,2.77,0.85
01-07-2015,230.01,230.01,223.88,225.01,58443,6.13,5
02-07-2015,226.01,230.01,225.01,226.88,67270,5,-0.87
03-07-2015,228.61,229.01,226.06,226.48,27264,2.95,2.13
06-07-2015,225.01,225.41,222.38,224.84,59241,3.03,0.17
07-07-2015,226.48,226.48,222.56,222.98,44411,3.92,3.5
08-07-2015,222.51,222.51,214.54,215.14,117965,7.97,7.37
09-07-2015,215.04,215.76,210.51,211.16,95676,5.25,3.88
10-07-2015,213.51,220.18,210.01,219.08,135131,10.17,-5.57
13-07-2015,220.01,221.81,217.98,220.16,42766,3.83,-0.15
14-07-2015,220.01,220.51,218.31,219.58,40031,2.2,0.43
15-07-2015,220.98,222.91,220.41,221.94,43553,2.5,-0.96
16-07-2015,221.68,223.71,219.88,222.56,63939,3.83,-0.88
17-07-2015,222.51,223.08,220.51,221.18,40558,2.57,1.33
20-07-2015,221.26,221.84,219.01,219.78,25860,2.83,1.48
21-07-2015,220.01,220.11,217.01,219.16,389892,3.1,0.85
22-07-2015,218.01,219.74,215.01,218.96,33672,4.73,-0.95
23-07-2015,219.01,222.41,216.66,221.81,66897,5.75,-2.8
24-07-2015,221.06,224.88,220.91,223.08,56096,3.97,-2.02
27-07-2015,221.86,221.86,217.21,218.74,22713,4.65,3.12
28-07-2015,217.74,217.76,213.04,215.21,61009,4.72,2.53
29-07-2015,215.26,216.44,210.46,211.24,135583,5.98,4.02
30-07-2015,212.41,215.14,211.01,211.94,291527,4.13,0.47
31-07-2015,212.51,217.51,211.88,216.21,64053,5.63,-3.7
03-08-2015,222.01,222.04,213.41,220.94,56141,8.63,1.07
04-08-2015,220.51,222.34,218.18,220.31,51135,4.16,0.2
05-08-2015,221.41,226.86,219.71,224.28,84668,7.15,-2.87
06-08-2015,225.84,230.01,224.08,227.06,147995,5.93,-1.22
07-08-2015,225.98,232.91,225.81,228.06,93435,7.1,-2.08
10-08-2015,228.51,232.46,227.01,228.26,68859,5.45,0.25
11-08-2015,229.01,229.78,223.98,225.71,89901,5.8,3.3
12-08-2015,227.81,230.56,221.51,224.54,142152,9.05,3.27
13-08-2015,225.01,227.11,223.16,224.51,39243,3.95,0.5
14-08-2015,227.41,228.01,224.61,227.41,50558,3.4,0
17-08-2015,227.41,231.38,225.91,230.18,53751,5.47,-2.77
